customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Cust0020,Female,0,Yes,Yes,56,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),35.91,1991.44,Yes
Cust0021,Male,0,Yes,Yes,52,No,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),48.91,2536.71,Yes
Cust0022,Female,0,Yes,No,68,Yes,No,DSL,No internet service,Yes,No,No,No internet service,No internet service,One year,Yes,Mailed check,50.02,3387.54,No
Cust0023,Male,1,Yes,Yes,67,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,78.13,5191.38,No
Cust0024,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),64.61,398.66,No
Cust0025,Male,0,No,No,54,Yes,Yes,No,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),28.32,1557.45,No
Cust0026,Female,0,No,Yes,11,No,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,73.27,819.09,Yes
Cust0027,Female,0,No,No,7,Yes,No phone service,DSL,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),52.01,368.9,Yes
Cust0028,Female,0,No,Yes,53,No,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,88.52,4650.58,No
Cust0029,Male,0,No,Yes,54,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,One year,Yes,Electronic check,56.16,3046.53,No
Cust0030,Male,1,Yes,No,40,Yes,Yes,DSL,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,56.01,2243.88,Yes
Cust0031,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,79.86,3083.62,Yes
Cust0032,Male,0,Yes,Yes,50,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),72.88,3651.44,Yes
Cust0033,Male,0,Yes,No,29,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),26.64,765.24,Yes
Cust0034,Female,0,Yes,No,56,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),49.73,2827.88,Yes
Cust0035,Female,0,No,Yes,65,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,84.73,5511.31,Yes
Cust0036,Female,0,No,Yes,58,Yes,No,DSL,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),43.34,2539.51,No
Cust0037,Female,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),43.94,531.57,Yes
Cust0038,Female,0,Yes,Yes,32,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),63.06,1999.84,No
Cust0039,Male,0,No,Yes,13,No,No,No,Yes,No internet service,No internet service,Yes,No,No internet service,One year,No,Mailed check,25.07,342.55,No
Cust0040,Male,0,No,No,17,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Two year,No,Mailed check,71.42,1192.25,No
Cust0041,Female,0,No,No,32,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),68.39,2179.23,No
Cust0042,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,62.83,2248.6,No
Cust0043,Female,0,No,No,29,Yes,No,DSL,No,Yes,Yes,No,No internet service,No internet service,One year,No,Electronic check,56.95,1651.71,No
Cust0044,Female,0,Yes,Yes,7,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No,No internet service,Two year,No,Mailed check,56.42,395.94,Yes
Cust0045,Female,0,Yes,Yes,35,Yes,No phone service,DSL,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),56.15,1924.39,Yes
Cust0046,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),20.39,981.62,Yes
Cust0047,Female,1,Yes,Yes,61,Yes,Yes,No,Yes,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),14.77,892.39,Yes
Cust0048,Female,0,No,Yes,28,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),79.25,2222.87,Yes
Cust0049,Male,0,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Mailed check,71.47,4763.19,Yes
Cust0050,Female,0,No,No,10,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,56.48,556.97,Yes
Cust0051,Female,0,No,No,69,Yes,No,No,No,Yes,No internet service,Yes,No internet service,No internet service,Two year,No,Electronic check,25.45,1767.41,No
Cust0052,Female,0,No,No,31,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Two year,No,Bank transfer (automatic),70.5,2242.39,No
Cust0053,Male,1,Yes,Yes,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,88.45,3709.1,Yes
Cust0054,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,77.37,2638.14,Yes
Cust0055,Female,0,No,No,70,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,88.53,6165.67,No
Cust0056,Female,0,Yes,Yes,27,No,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,One year,No,Mailed check,86.76,2331.91,No
Cust0057,Male,0,Yes,No,68,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),60.59,4107.47,No
Cust0058,Female,1,No,Yes,21,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),77.36,1611.98,Yes
Cust0059,Male,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,78.82,3061.85,No
Cust0060,Female,0,Yes,Yes,63,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,78.01,4908.31,Yes
Cust0061,Female,0,No,Yes,59,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,69.03,4050.72,No
Cust0062,Female,0,Yes,Yes,13,Yes,No,No,No internet service,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,18.36,233.2,Yes
Cust0063,Male,0,No,No,9,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,18.88,164.04,Yes
Cust0064,Male,0,Yes,No,11,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,54.71,613.62,Yes
Cust0065,Female,0,Yes,No,38,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),74.96,2842.99,Yes
Cust0066,Male,0,Yes,Yes,60,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),50.08,3004.09,No
Cust0067,Male,0,No,Yes,5,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,One year,Yes,Mailed check,82.3,422.34,No
Cust0068,Female,0,Yes,No,1,No,No phone service,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,84.19,80.51,Yes
Cust0069,Female,0,Yes,No,63,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),61.69,3914.8,Yes
Cust0070,Female,0,No,No,59,Yes,Yes,DSL,No internet service,No,No,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),57.99,3435.87,No
Cust0071,Male,0,No,Yes,67,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,87.76,5857.6,Yes
Cust0072,Male,0,Yes,No,67,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,62.82,4249.15,Yes
Cust0073,Male,1,No,Yes,26,Yes,No,No,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.04,860.85,Yes
Cust0074,Male,0,No,No,49,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,One year,No,Bank transfer (automatic),76.11,3745.8,No
Cust0075,Male,0,Yes,No,11,Yes,No phone service,DSL,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,52.76,567.53,Yes
Cust0076,Male,0,No,No,35,Yes,No phone service,No,Yes,No,Yes,Yes,Yes,No internet service,One year,Yes,Electronic check,31.09,1094.41,No
Cust0077,Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,94.3,5639.67,No
Cust0078,Male,1,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),87.23,4772.98,No
Cust0079,Female,0,No,No,38,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,No,Mailed check,67.82,2566.7,No
Cust0080,Male,0,Yes,No,55,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,65.7,3614.55,Yes
Cust0081,Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,76.79,2265.47,Yes
Cust0082,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,94.31,4718.41,Yes
Cust0083,Male,0,Yes,Yes,57,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),35.66,2027.06,No
Cust0084,Female,0,Yes,No,45,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),73.26,3320.42,No
Cust0085,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,81.27,258.91,No
Cust0086,Male,0,No,No,68,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),76.27,5179.3,No
Cust0087,Male,1,Yes,No,28,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Month-to-month,No,Electronic check,81.96,2297.87,Yes
Cust0088,Male,1,No,Yes,19,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,68.02,1262.6,No
Cust0089,Female,0,No,No,37,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.75,1472.39,No
Cust0090,Female,0,Yes,No,6,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),53.59,351.1,No
Cust0091,Female,0,No,Yes,52,Yes,No,DSL,No,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,53.67,2775.18,Yes
Cust0092,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),76.11,1855.11,No
Cust0093,Male,0,No,Yes,6,Yes,No phone service,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.67,319.07,Yes
Cust0094,Male,0,Yes,No,19,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),52.31,953.6,Yes
Cust0095,Female,0,No,No,65,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),87.5,5675.32,No
Cust0096,Female,0,No,Yes,23,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),71.32,1654.33,No
Cust0097,Male,0,Yes,Yes,53,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),61.52,3253.82,Yes
Cust0098,Male,0,No,Yes,35,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,22.39,782.34,No
Cust0099,Female,1,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.16,188.85,Yes
Cust0100,Male,0,No,Yes,48,Yes,Yes,DSL,No,No internet service,No internet service,No,Yes,Yes,One year,Yes,Electronic check,63.55,3060.83,No
Cust0101,Female,0,Yes,Yes,27,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),30.99,820.66,No
Cust0102,Male,0,No,No,69,Yes,Yes,DSL,No internet service,No,No,No internet service,No,Yes,One year,No,Mailed check,49.98,3418.69,Yes
Cust0103,Female,1,No,No,5,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,50.85,239.46,Yes
Cust0104,Male,0,Yes,No,9,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,One year,No,Mailed check,59.91,583.99,Yes
Cust0105,Female,0,No,Yes,30,Yes,No,No,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),21.33,665.33,Yes
Cust0106,Male,0,No,No,47,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,75.99,3533.6,Yes
Cust0107,Female,0,No,Yes,41,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,72.19,2928.85,Yes
Cust0108,Male,1,No,Yes,12,Yes,No,No,No internet service,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,32.14,356.53,No
Cust0109,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.25,725.74,Yes
Cust0110,Female,0,Yes,Yes,13,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),44.15,548.4,No
Cust0111,Male,0,No,No,60,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,72.08,4320.84,No
Cust0112,Male,1,No,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),67.59,3970.62,Yes
Cust0113,Female,0,No,Yes,9,No,No phone service,No,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,36.62,305.03,Yes
Cust0114,Male,0,No,Yes,18,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,72.91,1298.55,No
Cust0115,Female,0,Yes,Yes,58,Yes,No phone service,DSL,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.55,2459.84,Yes
Cust0116,Female,0,Yes,Yes,34,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.77,1965.74,No
Cust0117,Male,0,No,No,56,Yes,No phone service,No,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),26.43,1493.18,No
Cust0118,Male,0,Yes,No,20,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,76.79,1530.33,Yes
Cust0119,Male,0,Yes,No,8,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),73.28,585.52,Yes
Cust0120,Male,0,Yes,Yes,45,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),63.07,2856.77,No
Cust0121,Male,0,No,Yes,2,Yes,No,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),43.13,96.48,Yes
Cust0122,Male,1,No,No,52,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,77.4,4005.88,Yes
Cust0123,Female,0,Yes,Yes,70,No,Yes,No,No internet service,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),35.15,2472.09,Yes
Cust0124,Male,1,Yes,No,10,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,61.56,622.4,Yes
Cust0125,Female,0,Yes,No,16,Yes,No phone service,No,No,No internet service,No,Yes,Yes,No internet service,One year,No,Credit card (automatic),22.71,367.24,No
Cust0126,Female,0,No,Yes,58,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,85.45,4956.83,No
Cust0127,Male,0,Yes,Yes,29,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,No,Electronic check,77.73,2267.24,Yes
Cust0128,Female,0,No,No,7,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,No,Mailed check,57.54,421.95,Yes
Cust0129,Male,0,Yes,Yes,67,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),68.03,4563.21,No
Cust0130,Male,0,No,Yes,57,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),81.64,4681.13,Yes
Cust0131,Male,0,Yes,Yes,34,Yes,No,No,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,33.14,1138.73,Yes
Cust0132,Male,0,No,No,70,Yes,Yes,No,No,No,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),26.0,1818.34,No
Cust0133,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),77.95,0.0,Yes
Cust0134,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,Yes,No,No,No,No,No internet service,Month-to-month,No,Electronic check,75.3,2535.22,Yes
Cust0135,Female,1,No,No,9,No,No,DSL,Yes,No,No internet service,No,No,Yes,Two year,Yes,Bank transfer (automatic),54.55,476.53,Yes
Cust0136,Male,1,Yes,No,63,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.88,4391.0,No
Cust0137,Female,1,No,No,29,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Mailed check,51.06,1460.55,No
Cust0138,Female,0,No,No,19,No,Yes,Fiber optic,No,Yes,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),62.75,1214.29,Yes
Cust0139,Male,1,Yes,No,57,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,No internet service,Two year,No,Credit card (automatic),69.07,3930.66,No
Cust0140,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),64.0,3881.8,No
Cust0141,Male,1,Yes,No,20,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),74.22,1497.17,No
Cust0142,Male,0,No,No,54,Yes,No,DSL,No,No,No,No,No internet service,Yes,Two year,Yes,Mailed check,50.3,2701.26,No
Cust0143,Female,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Credit card (automatic),22.37,838.38,No
Cust0144,Female,0,Yes,No,34,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,80.92,2756.55,No
Cust0145,Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,72.97,2895.65,No
Cust0146,Female,0,Yes,Yes,24,Yes,No phone service,DSL,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),43.93,1009.7,Yes
Cust0147,Male,0,No,No,41,No,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,73.64,3035.05,Yes
Cust0148,Male,1,No,Yes,53,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,64.51,3424.79,Yes
Cust0149,Female,0,No,Yes,70,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,Yes,One year,No,Electronic check,53.0,3689.66,No
Cust0150,Female,0,Yes,No,12,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),61.27,729.67,No
Cust0151,Male,1,Yes,No,3,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,57.6,208.61,Yes
Cust0152,Male,0,No,Yes,0,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),75.89,0.0,Yes
Cust0153,Female,0,No,Yes,38,Yes,No,DSL,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),48.22,1828.14,No
Cust0154,Male,0,No,No,33,Yes,No phone service,No,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,No,Mailed check,33.12,1101.52,Yes
Cust0155,Male,0,No,Yes,45,Yes,Yes,No,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),33.94,1496.57,Yes
Cust0156,Male,0,Yes,Yes,18,No,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,One year,No,Electronic check,78.44,1431.13,No
Cust0157,Male,0,Yes,Yes,39,Yes,No,DSL,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),48.23,1873.54,Yes
Cust0158,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),74.13,2456.57,Yes
Cust0159,Female,0,No,No,31,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),75.84,2339.35,Yes
Cust0160,Male,0,No,No,69,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),64.56,4487.31,No
Cust0161,Female,0,Yes,No,26,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.11,2052.02,No
Cust0162,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),56.63,1760.62,Yes
Cust0163,Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),77.74,2720.88,No
Cust0164,Male,1,No,No,71,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Two year,Yes,Electronic check,76.84,5444.96,No
Cust0165,Female,0,Yes,Yes,25,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No,No,Two year,No,Electronic check,38.7,990.12,No
Cust0166,Male,0,Yes,Yes,1,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),93.47,68.64,Yes
